Link,Question,Follows,Answers
https://answers.yahoo.com/question/index?qid=20160628171132AAh3nOC,What lens should I buy to shoot from crowd?,0,3
https://answers.yahoo.com/question/?qid=20081220040505AAMI4Xe,How fast should my internet connection speed be to play PS3 online?,0,-1
https://answers.yahoo.com/question/?qid=20060620125338AASrFcK,Should married men go to strip clubs?,1,36
https://sg.answers.yahoo.com/question/index?qid=20091006055820AAxrmbk,Why should you let the inoculating loop/needle cool first before using?,0,2
https://answers.yahoo.com/question/index?qid=20081227191009AAblk7L,How often should i get my skates sharpened?,0,13
https://ca.answers.yahoo.com/question/index?qid=20080215062225AAhKJac,What shots should you get before going to Cuba? And is Twinrix good enough?,0,8
https://au.answers.yahoo.com/question/index?qid=20081109021050AANbngM,How old should my puppy be before we get her another puppy for company?,0,6
https://answers.yahoo.com/question/index?qid=20160628130237AAD7xZX,Should I do this to her necklace?? (*will give best answer* )?,0,1
https://answers.yahoo.com/question/index?qid=20071027165241AAZ5qKy,How often should I give my puppy water?,1,13
https://answers.yahoo.com/question/index?qid=20080214103908AAnHomt,Ate or Eaten - when and how should either term be used?,5,1
https://sg.answers.yahoo.com/question/index?qid=20070104005054AAAOKtp,How many times a day should i feed my rabbit?,0,6
https://answers.yahoo.com/question/index?qid=20081030203007AABAM3L,FLAG BURNING  Should it be legal?,2,13
https://ca.answers.yahoo.com/question/index?qid=20101114195738AA2uWrB,Why should we study the French Revolution?,0,3
https://sg.answers.yahoo.com/question/index?qid=20091029100820AAdoaFc,Your husband should know everything?,4,34
https://au.answers.yahoo.com/question/index?qid=20121122035039AApZt9I,Should I attend my work Christmas party?,0,8
https://answers.yahoo.com/question/index?qid=20120810074636AALP2rN,How many bras should a woman have?,1,11
https://answers.yahoo.com/question/index?qid=20160628130646AAXbqmQ,Should marijuana be legal?,0,5
https://answers.yahoo.com/question/index?qid=20090103114836AAEwgL1,What size font should I use?,0,11
https://answers.yahoo.com/question/index?qid=20110304060102AA7ivmh,"Seniors: Should you wash new bedding (pillowcases, sheets, mattress padding) before you use it?",10,26
https://answers.yahoo.com/question/index?qid=20120109053948AAz8s7n,Do you think couples should talk all day long?,1,16
https://answers.yahoo.com/question/index?qid=20110329154322AAKtMLs,Which starter pokemon should I choose in Black and White?,0,7
https://ca.answers.yahoo.com/question/index?qid=20101023210953AAKwYAH,"Should I start reading ""Kaichou wa Maid-sama!"" The Manga?",0,4
https://answers.yahoo.com/question/index?qid=20100201140356AAdIyjL,,,
https://au.answers.yahoo.com/question/index?qid=20120105031710AAvq0Ba,How much rent should I charge my sister?,0,6
https://au.answers.yahoo.com/question/index?qid=20121031024059AA7C970,"People should not be afraid of their governments, governments should be afraid of their people?",2,4
https://nz.answers.yahoo.com/question/index?qid=20120326192144AA2U7xI,Should i buy a chevy s10?,0,6
https://ca.answers.yahoo.com/question/index?qid=20130405084944AAT7UwF,SHOULD I HAVE SEX AT 15!? (condoms)?,0,7
https://answers.yahoo.com/question/index?qid=20100810130626AACo6ql,Should men pay for everything?,3,22
https://malaysia.answers.yahoo.com/question/index?qid=20110817131905AA5B3yH,I drink soda everyday. How much should I drink to stay healthy?,0,10
https://au.answers.yahoo.com/question/index?qid=20100103163916AATAY23,How long should a thesis statement be for a research paper.?,0,6
https://answers.yahoo.com/question/index?qid=20100605020355AAU63xe,How much should my guinea pig eat every day?,1,8
https://answers.yahoo.com/question/index?qid=20160628212518AAMjVnB,The Benghazi investigation didn’t waste enough money? Cons holding hearings on why won’t Obama use the words they want him to?,0,-1
https://answers.yahoo.com/question/index?qid=20160628210340AAr9CnY,Sexually frustrated ...?,0,3
https://answers.yahoo.com/question/index?qid=20160628211852AACczRl,Could I be a model?,0,2
https://answers.yahoo.com/question/index?qid=20160628210320AAyRudh,How do I convince my mother to let me hang out with a guy I'm just friends with?,0,1
https://answers.yahoo.com/question/index?qid=20160628211857AAbM5Rl,NEED HELP AND SUGGESTION?,0,-1
https://answers.yahoo.com/question/index?qid=20160628211205AABcT8o,Can you still love someone you no longer find attractive?,0,4
https://answers.yahoo.com/answer?offset=r1467155580~r%3A0&sid=&isCategory=0,,,
https://answers.yahoo.com/question/index?qid=20160628222152AAGZApQ,Wholesale car dealer license selling to the public?,0,-1
https://answers.yahoo.com/question/index?qid=20160628225223AAfuMSG,"Why is this girl at my school, so stupid?",0,7
https://answers.yahoo.com/question/index?qid=20070619114538AAzHRpX,My dog has diarrhea. What should I do?,19,42
https://answers.yahoo.com/question/index?qid=20060610195201AAgytsB,How often should you put fuel injector cleaner in your car?,1,6
https://answers.yahoo.com/question/index?qid=20160623103910AAS2n9t,SHOULD GAYS AND LESBIANS believe IN GOD or NOT SINCE it seems religion is anti-gay?,3,70
https://au.answers.yahoo.com/question/index?qid=20070930122536AABgRyQ,What should i name my pitbull puppy?,0,18
https://answers.yahoo.com/question/?qid=20060922200735AADMncJ,How often should you defragment your computer?,0,10
https://answers.yahoo.com/question/index?qid=20081122054437AAVPQoH,How long should I seed torrents for?,3,9
https://in.answers.yahoo.com/question/index?qid=20070224155327AAoQryj,Should India adopt English as its official National language??,1,22
https://ca.answers.yahoo.com/question/index?qid=20070308185106AACots3,What should the P.H level be in my goldfish tank?,1,7
https://answers.yahoo.com/question/index?qid=20070320090755AAopeaG,How long should I wait to propose to my girlfriend?,0,9
https://answers.yahoo.com/question/index?qid=20071128005903AAlm9nm,How many hours should a 16 year old high school student study?,0,14
https://answers.yahoo.com/question/index?qid=20071125054334AAQWTu9,"How often should I run my outboard engine on my boat that's parked in my driveway, when not in use regularly?",11,11
https://answers.yahoo.com/question/index?qid=20060714133655AArKCrB,Should I go to Japan for a visit?,1,29
https://answers.yahoo.com/question/index?qid=20080610193018AA7IQt2,Why should we save the planet?,4,8
https://ca.answers.yahoo.com/question/index?qid=20100415001345AAkzfzH,Should i put my scotch into the fridge?,2,8
https://answers.yahoo.com/question/index?qid=20111209002225AApRRfZ,On skyrim should I join the imperial legion or the stormcloaks?,1,11
https://answers.yahoo.com/question/?qid=20111012134414AAqtGSx,How often should i change my pad at school?,1,11
https://answers.yahoo.com/question/index?qid=20080507103610AAoWjEP,Should I dispute everything on my credit report even if some items are correct?,5,12
https://ca.answers.yahoo.com/question/index?qid=20101007122928AARN0l6,"To increase the mechanical advantage of a lever, should you increase or decrease the length of the output arm?",0,6
https://answers.yahoo.com/question/index?qid=20110825233323AAeySsQ,Should i shave my head & wear a wig while my hair grows?,1,7
https://au.answers.yahoo.com/question/index?qid=20110102204621AAPzJDj,Should engagement rings be yellow or white gold?,0,13
https://ph.answers.yahoo.com/question/index?qid=20111004171047AAPGfQg,Should i keep my Leopard Geckos heat lamp on all day and night?,0,4
https://ca.answers.yahoo.com/question/index?qid=20120303111317AAhQOvO,What order should I watch Spartacus?,0,5
https://ca.answers.yahoo.com/question/index?qid=20110811105558AAxSxx2,Should you put on moisturizer right after a shower?,0,4
https://au.answers.yahoo.com/question/index?qid=20100723074700AAJGCyK,How do you know if you should be admitted to a mental hospital (inpatient or outpatient)?,0,5
https://nz.answers.yahoo.com/question/index?qid=20080629183042AAcmOvb,How long should I bake my pizza? ( at 450 degrees)?,0,8
https://ca.answers.yahoo.com/question/index?qid=20100802161949AAzC8CJ,Should I text my crush even though he has a girlfriend?,0,18
https://answers.yahoo.com/question/index?qid=20100308163120AAN4OZ1,Why should people not be racist i need 3 reasons?,0,8
https://au.answers.yahoo.com/question/index?qid=20081205170236AAM6lme,How tight should mouthguards fit?,0,4
https://au.answers.yahoo.com/question/index?qid=20120128032939AAJF2BV,Should i let my 11 year old watch the saw movies?,0,16
https://au.answers.yahoo.com/question/index?qid=20091201180829AAPrYyL,CAR question - Should the A/C button be ON when the heater is ON?,1,13
https://answers.yahoo.com/question/index?qid=20090913134730AAxO54l,To what volume should you dilute 135 mL of an 8.05 M CuCl2 solution so that...?,1,-1
https://au.answers.yahoo.com/question/index?qid=20130220035218AAUmpCf,How long should you wait before changing your belly bar?,0,3
https://ca.answers.yahoo.com/question/index?qid=20091222133125AAvpjQt,How long should an ear piercing hurt?,0,16
https://au.answers.yahoo.com/question/index?qid=20121004203515AAzfO3l,Should i have a mirror in my budgie cage?,1,6
https://au.answers.yahoo.com/question/index?qid=20100414012751AAj1vhU,Why should i desex my dog?,1,17
https://au.answers.yahoo.com/question/index?qid=20130128223629AA3zneX,Should I read the Naruto Manga?,1,13
https://answers.yahoo.com/question/index?qid=20120326192946AA99NGV,Should I take my SS card with me while traveling abroad?,0,4
https://answers.yahoo.com/question/index?qid=20110402040936AA9GtNd,How often should I change the food and water in my bird cage?,0,13
https://ca.answers.yahoo.com/question/index?qid=20121207014046AAqjVJf,When should you stop bathing your kid?,1,15
https://answers.yahoo.com/question/index?qid=20091019175127AAcZ1m9,When should I take  Clonazepam?,0,5
https://answers.yahoo.com/question/index?qid=20160628175938AAu8oEQ,How much should i expect to pay a month for this car?,0,3
https://uk.answers.yahoo.com/question/index?qid=20160620102503AAZ18hN,Should I become liberal or stay conservative?,0,14
https://answers.yahoo.com/question/index?qid=20160628153741AAXE0E4,"All my books have bed bug stains on them, should I keep them or throw them out?",0,3
https://answers.yahoo.com/question/index?qid=20160628151619AA4o13E,WHY SHOULD I VOTE FOR HILLARY CLINTON?,0,16
https://uk.answers.yahoo.com/question/index?qid=20160606084052AA1DcBn,Should abortion ever be allowed?,0,18
https://uk.answers.yahoo.com/question/index?qid=20160522102717AAQy17K,"Why is it okay to tell a guy ""Should have kept it in your pants"", but not tell a girl ""Should have kept your legs closed""?",0,8
https://answers.yahoo.com/question/index?qid=20160628223502AAIO5uQ,Why do cons think women should stay in the kitchen barefoot and pregnant?,0,7
https://answers.yahoo.com/question/index?qid=20160628220408AAC8X6R,Air Force or Navy: Which should I enlist in?,0,4
https://answers.yahoo.com/question/index?qid=20160628164911AAGZC4j,Is my doctor lying and should I get new one?,0,2
https://answers.yahoo.com/question/index?qid=20160628152823AA3efZL,"Violin or viola, what should i play? i have background playing piano, mainly a guitarist. should i consider my hand size as well?",0,2
https://ca.answers.yahoo.com/question/index?qid=20090331092952AAWDA6o,"Should you keep secrets from your partner for their own good, or is secrecy always corrosive to relationships?",174,271
https://answers.yahoo.com/question/index?qid=20080520072503AAVNVsr,Chicago Midway aiport fliers..how early should we arrive?,0,5
https://in.answers.yahoo.com/question/index?qid=20070112135510AAD7SB8,What should we do to free our planet from terrorism?,4373,31269
https://answers.yahoo.com/question/?qid=20060620123842AACrdww,What should I charge for painting services?,0,-1
https://ca.answers.yahoo.com/question/index?qid=20090704054810AAERPWz,Should we bring Canadian or American $ to Jamaica?,1,9
https://answers.yahoo.com/question/index?qid=20060725174043AANuyud,Car Accident: Should I talk to the other guys insurance company if they call up for info about accident?,0,18
https://in.answers.yahoo.com/question/index?qid=20080207011207AA7pk4W,Should students participate in politics?,1,15
https://answers.yahoo.com/question/index?qid=20071022064149AAtcfjc,Should we remove baseboards before painting walls?,1,14
https://sg.answers.yahoo.com/question/index?qid=20091025110957AAwdlDw,Why should students wear uniforms?,0,11
https://answers.yahoo.com/question/index?qid=20081112152203AAZzy5p,Why should we value life?,1,13
https://ca.answers.yahoo.com/question/index?qid=20090919143424AApzicY,My fish had babies what should i do?,0,7
https://nz.answers.yahoo.com/question/index?qid=20081109032127AAq6Twh,What order should i read the gospels in?,0,11
https://sg.answers.yahoo.com/question/index?qid=20110524234540AAwY3iF,Should I wash my body or shave my legs first?,0,5
https://ca.answers.yahoo.com/question/index?qid=20081021142049AAA9HEy,Should voting be mandatory?,0,16
https://au.answers.yahoo.com/question/index?qid=20080210183924AAQe6u5,How tight should a collar be on a puppy?,0,14
https://au.answers.yahoo.com/question/index?qid=20130212225659AAUWm0C,Should the DEATH PENALTY be BROUGHT BACK to AUSTRALIA?,0,5
https://au.answers.yahoo.com/question/index?qid=20091123005129AAvw0i9,Should tourism be allowed in Antarctica?,2,2
https://answers.yahoo.com/question/index?qid=20110426181041AADysON,How often should a women douche?,1,8
https://answers.yahoo.com/question/index?qid=20110224044215AAz0uZQ,Reasons the holocaust should be forgotten (read question)?,1,15
https://ca.answers.yahoo.com/question/index?qid=20100903152529AAOBVuU,Should I let the Mom cat see her kittens being given away?,1,9
https://answers.yahoo.com/question/?qid=20110220030227AAC7Aew,What should a Western women wear in Saudi Arabia?,0,13
https://au.answers.yahoo.com/question/index?qid=20101026013646AAw0oSF,How long should one body paragraph be in an essay?,0,3
https://au.answers.yahoo.com/question/index?qid=20110705183849AAHhZtx,Should I download Steam - gaming platform?,0,5
https://answers.yahoo.com/question/index?qid=20070713092915AAYdz15,Job Interview Question - Why should we pick you?,1,17
https://answers.yahoo.com/question/?qid=20090220110108AAOKWP7,"If I want to be an astronaut,  what classes should I take?",2,6
https://au.answers.yahoo.com/question/index?qid=20120730192206AAubxpV,Should I be worried that my boyfriend watches porn?,0,15
https://ca.answers.yahoo.com/question/index?qid=20101016082116AAKLW5J,Reasons why we should not privatize health care in Canada.?,2,15
https://ca.answers.yahoo.com/question/index?qid=20111220154531AABBt8O,Should I read or watch ? - Black butler?,1,7
https://au.answers.yahoo.com/question/index?qid=20100402195243AAe43EG,How often should I change the water in my 40 gallon aquarium?,0,8
https://ca.answers.yahoo.com/question/index?qid=20100731224243AA8b5sm,How long should a 17 year old last in bed?,0,11
https://ca.answers.yahoo.com/question/index?qid=20120316164126AAoXWm2,"What should that temperature be, if we want only 2.5 % of healthy people to exceed it?",0,1
https://answers.yahoo.com/question/index?qid=20060810134229AA4uCvC,How old should you start wearing makeup?,0,31
https://au.answers.yahoo.com/question/index?qid=20101007041428AA8oKDH,My ear piercing may be infected - should I take it out or leave it in?,0,6
https://answers.yahoo.com/question/index?qid=20101120120210AAqft7g,To what volume should you dilute 90 mL of a 10.0 M H2SO4 solution to obtain a 1.80 M H2SO4 solution?,0,1
https://sg.answers.yahoo.com/question/index?qid=20070716112416AAHAmgM,Should i run before or after my workout?,0,-1
https://answers.yahoo.com/question/index?qid=20160628203624AArygUv,Should College Be Free? Why or why not?,0,5
https://ca.answers.yahoo.com/question/index?qid=20120313022056AAx3lPy,Should men shave their pubic hair?,1,10
https://answers.yahoo.com/question/index?qid=20100322012300AAa84fC,Should I always loosen my guitar strings after I play?,0,10
https://ph.answers.yahoo.com/question/index?qid=20100331045728AAiDiRU,Should I Join Facebook? Why and Why not?,0,-1
https://answers.yahoo.com/question/index?qid=20100125201855AAvYUwH,Should people take high school relationships seriously?,1,19
https://answers.yahoo.com/question/index?qid=20090628161504AAaYRN4,Is it you should've come or came?,0,8
https://answers.yahoo.com/question/index?qid=20090731112915AA7JkVP,How long should I practice guitar each day?,1,12
https://in.answers.yahoo.com/question/index?qid=20080207011207AA7pk4W,Should students participate in politics?,1,15
https://answers.yahoo.com/question/?qid=20090908220555AAdIOlC,How tight should the tank be attached to the toilet?,2,12
https://answers.yahoo.com/question/index?qid=20071011065723AAT69or,Rebuilt/Salvage Title.....should I buy a car with one?,1,10
https://sg.answers.yahoo.com/question/index?qid=20091006055820AAxrmbk,Why should you let the inoculating loop/needle cool first before using?,0,2
https://ca.answers.yahoo.com/question/index?qid=20070723100430AAOrb8V,How Often Should I Change My Snake's Water Bowl?,0,7
https://answers.yahoo.com/question/index?qid=20090505201802AAmC8r1,What is an AVID class? Should i join or Not?,0,-1
https://ca.answers.yahoo.com/question/index?qid=20100125204806AAcWUQs,"Should ""L"" (for ""lord"") be capitalized in the following sentence?",0,3
https://answers.yahoo.com/question/index?qid=20081230102920AAKJSu4,Should you tip your piercer?,0,14
https://answers.yahoo.com/question/?qid=20060922200735AADMncJ,How often should you defragment your computer?,0,10
https://answers.yahoo.com/question/index?qid=20071128005903AAlm9nm,How many hours should a 16 year old high school student study?,0,14
https://answers.yahoo.com/question/index?qid=20080714200038AA4AdJb,Should I major in Musical Theatre?,0,14
https://answers.yahoo.com/question/index?qid=20060709230712AAlcPpw,How long should I exercise daily?,0,10
https://answers.yahoo.com/question/index?qid=20080304140154AADjFDX,Should 13 year old be allowed to vote?,0,22
https://answers.yahoo.com/question/?qid=20080906232352AAiqnIe,What should I eat before a soccer game to maximize performance?,9,4
https://ca.answers.yahoo.com/question/index?qid=20090704054810AAERPWz,Should we bring Canadian or American $ to Jamaica?,1,9
https://answers.yahoo.com/question/index?qid=20070619114538AAzHRpX,My dog has diarrhea. What should I do?,19,42
https://ca.answers.yahoo.com/question/index?qid=20080215062225AAhKJac,What shots should you get before going to Cuba? And is Twinrix good enough?,0,8
https://sg.answers.yahoo.com/question/index?qid=20091025110957AAwdlDw,Why should students wear uniforms?,0,11
https://answers.yahoo.com/question/?qid=20060614182618AAZ3vWy,How many bottles should a 7 month old drink?,0,10
https://au.answers.yahoo.com/question/index?qid=20070527071955AAStEMP,How long should a newly married couple wait to have kids? Wouldnt it put stresses on them & their marriage.?,0,12
https://ca.answers.yahoo.com/question/index?qid=20090630224338AA3xOLG,Should I eat before or after I work out?,0,16
https://answers.yahoo.com/question/index?qid=20060716102255AAuJB1o,Why should slavery end?,0,20
https://au.answers.yahoo.com/question/index?qid=20081010141836AAtbIHs,Should a 13-year old boy(me) shave his leg when it is gettin a little hairy?,0,16
https://ca.answers.yahoo.com/question/index?qid=20090331092952AAWDA6o,"Should you keep secrets from your partner for their own good, or is secrecy always corrosive to relationships?",174,271
https://ca.answers.yahoo.com/question/index?qid=20070126080634AA78C87,Should cellphones be allowed in schools?,34,390
https://au.answers.yahoo.com/question/index?qid=20080311161010AANKCWl,How much should an engagement ring cost and a wedding band.?,0,20
https://au.answers.yahoo.com/question/index?qid=20090925013536AAjBdYE,"How much,what and how often should I feed my bearded dragon?",1,1
https://answers.yahoo.com/question/index?qid=20070320090755AAopeaG,How long should I wait to propose to my girlfriend?,0,9
https://sg.answers.yahoo.com/question/index?qid=20070621073125AATCgKw,How long should a proper bath be ?,0,10
https://in.answers.yahoo.com/question/index?qid=20091210064856AA9sqzf,How much should looks matter while choosing life partner?,2,19
https://ca.answers.yahoo.com/question/index?qid=20120525114932AAmhKe3,What should an intro paragraph include?,0,3
https://ca.answers.yahoo.com/question/index?qid=20120302112044AA7pAgd,How much and often should i feed my Black Moor Goldfish?,0,6
https://au.answers.yahoo.com/question/index?qid=20081209153219AAq3j6p,How much should i feed my 14 lb cat?,0,6
https://au.answers.yahoo.com/question/index?qid=20070818194807AA7bqSn,How many times a day should i feed my golden retriever?,0,18
https://au.answers.yahoo.com/question/index?qid=20090622183148AAfijQc,When should i start watching naruto shippuden?,0,11
https://answers.yahoo.com/question/index?qid=20080918224307AAFDNWE,On Kingdom Hearts 2 what level should i be to beat sephiroth?,0,6
https://au.answers.yahoo.com/question/index?qid=20080104184833AAv231e,How much food should a 11 month old Lab Puppy eat?,0,10
https://answers.yahoo.com/question/?qid=20070731162710AABsUeH,"My car battery is dead, how long should i let my car run to charge the battery?",4,14
https://answers.yahoo.com/question/index?qid=20080416143113AAm6Alo,How many times should I exfoliate every week?,2,7
https://sg.answers.yahoo.com/question/index?qid=20070104005054AAAOKtp,How many times a day should i feed my rabbit?,0,6
https://au.answers.yahoo.com/question/index?qid=20080524223631AAgeZ2U,At what age should i start charging my daughter board/rent?,0,49
https://nz.answers.yahoo.com/question/index?qid=20130129144301AAVNJhr,How much water should be added to 12ml of 8% alcohol solution to reduce the concentration to 6%?,0,2
https://au.answers.yahoo.com/question/index?qid=20070930122536AABgRyQ,What should i name my pitbull puppy?,0,18
https://answers.yahoo.com/question/index?qid=20080215102530AABhA66,What psi should I inflate my tires to?,2,15
https://ca.answers.yahoo.com/question/index?qid=20120904202209AA9OqDX,What's an example of interactions that should occur while changing a baby's diaper?,0,5
https://answers.yahoo.com/question/index?qid=20160628070606AAP8QNz,What do you think of this situation and what should I do?,0,1
https://au.answers.yahoo.com/question/index?qid=20081231164329AAgqJ3B,I've got cancer - should I break up with my boyfriend?,0,16
https://ca.answers.yahoo.com/question/index?qid=20070308185106AACots3,What should the P.H level be in my goldfish tank?,1,7
https://ca.answers.yahoo.com/question/index?qid=20090215162328AASMMCx,What role should the government play in the economy...?,0,11
https://answers.yahoo.com/question/index?qid=20100106003402AAfJmRN,Should mentally-challenged people be sterilized?,3,32
https://answers.yahoo.com/question/index?qid=20160628173754AAeuU3H,What color should i wrap the hood and roof of my toyota celica?,0,-1
https://ca.answers.yahoo.com/question/index?qid=20110510133900AAnDYbY,Do you think people with autism/AS should not have children?,3,12
https://answers.yahoo.com/question/index?qid=20061105191013AAuCFIi,Should the french and indian war be considered one of the major causes of the american revolution? yes or no?,0,8
https://au.answers.yahoo.com/question/index?qid=20090306014829AAoTCJa,If I get 2 puppies what sexes should I get?,0,10
https://answers.yahoo.com/question/index?qid=20100731174908AAFP2w0,Why should we ban guns?,0,7
https://ca.answers.yahoo.com/question/index?qid=20110517190113AAD7EhR,Why should the concentration of water be the same inside the cell and in the extracellular fluid?,0,4
https://au.answers.yahoo.com/question/index?qid=20081113022108AAdnTfa,What should 14 year olds be allowed to do?,1,22
https://answers.yahoo.com/question/index?qid=20130312114142AAHOXPw,I am a gay Muslim. I feel sick!! What should I do?,1,21
https://answers.yahoo.com/question/index?qid=20130523172926AACo1UP,Reasons abortion should be legal?,0,6
https://au.answers.yahoo.com/question/index?qid=20120331040555AAR6l3s,When driving how should the hand brake be up or down?,0,8
https://answers.yahoo.com/question/index?qid=20100702145654AAezp6l,What temp should my freshwater community tank be?,1,8
https://answers.yahoo.com/question/index?qid=20160628181658AA1f47n,Should the UN Declaration of Human Rights be amended to include the right to keep and bear firearms?,0,4
https://ca.answers.yahoo.com/question/index?qid=20110222122741AAMUhZw,How much dry food should I feed a 10 pound Poodle/ Shih tzu mix?,2,9
https://nz.answers.yahoo.com/question/index?qid=20120713205835AAgkHhV,Diesel engine oil - what colour should it be?,0,5
https://answers.yahoo.com/question/index?qid=20100614230619AAognkF,What episode should I start watching Fullmetal Alchemist: Brotherhood from if I've seen the original already?,1,5
https://ca.answers.yahoo.com/question/index?qid=20121207195913AAklvDE,Should i put a bandage on my burn?,0,5
https://au.answers.yahoo.com/question/index?qid=20101001220538AAVjyyw,"How long should i wait too pee after my bf ejaculates,,and does anyone have any useful tips...Thanx!!?",0,5
https://ca.answers.yahoo.com/question/index?qid=20111030152305AA0nPZy,"Should I read ""The Origin of Species"" next?",1,6
https://answers.yahoo.com/question/index?qid=20160623122703AAFlCch,Should THE POTENTIAL FATHER have any SAY SO in pregnant women getting an abortion?,4,191
https://in.answers.yahoo.com/question/index?qid=20140126013345AAQAUNQ,The meaning of ' I should probably go there'.?,0,5
https://au.answers.yahoo.com/question/index?qid=1006050903003,Should judges make law?,0,27
https://au.answers.yahoo.com/question/index?qid=20151205155249AAZpEIe,Should I upload a video to YouTube in 1080p or 720p?,0,5
https://ca.answers.yahoo.com/question/index?qid=20131114172429AAoyxI3,Should America make China the 51st state so we can get better access to Chinese food?,0,13
https://au.answers.yahoo.com/question/index?qid=20130818180651AAmAmdT,Should euthanasia be made legal in Australia?,5,89
https://answers.yahoo.com/question/index?qid=20111014124743AA7knuN,Why should we save oil?,0,10
https://ca.answers.yahoo.com/question/index?qid=20150922100335AAaO0mE,Should a company have the power to decide what information to give consumers about the food it produces?,0,9
https://answers.yahoo.com/question/index?qid=20110211101136AA418gO,Why should we respect old people?,0,14
https://au.answers.yahoo.com/question/index?qid=20130725164033AAvKKws,Should the smacking of kids be made illegal?,6,50
https://answers.yahoo.com/question/index?qid=20150617153222AACn8FD,Should I buy my 11 year old daughter a new iPhone 6 or iPhone 5c?,0,39
https://answers.yahoo.com/question/index?qid=1006052909151,10 reasons why mothers should work??,0,9
https://answers.yahoo.com/question/index?qid=20100720120104AAGXDBP,In what sequence should i watch star wars?,1,8
https://ca.answers.yahoo.com/question/index?qid=20160403165428AAsxl8b,Why should I vote for Bernie Sanders?,2,67
https://answers.yahoo.com/question/index?qid=1006041005793,At what age do you think a child should stop hunting easter eggs?,0,17
https://ca.answers.yahoo.com/question/index?qid=20141110114741AADCxvE,Should I trust a modder?,0,10
https://answers.yahoo.com/question/index?qid=20140407205846AAIkx2e,How much money should I bring to Atlanta Ga for 3 days?,0,5
https://answers.yahoo.com/question/index?qid=1006053131974,Which side should tin foil be used and why?,0,9
https://answers.yahoo.com/question/index?qid=1006052643258,I going camping what should i take with me?,0,9
https://ca.answers.yahoo.com/question/index?qid=1006052106144,Should you puncture a blister and release the fluid or just leave it to burst on its own?,0,13
https://ca.answers.yahoo.com/question/index?qid=20150713202621AAdhDVm,How far away from a stop sign should I start braking?,1,22
https://answers.yahoo.com/question/index?qid=1006032815444,Who should introduce themselves first in a new neighborhood?,0,14
https://answers.yahoo.com/question/index?qid=1006051016860,On what side should a woman walk with a man?,0,27
https://answers.yahoo.com/question/index?qid=1005123002799,"With reference to the branches of philosophy,why should teachers study philosophy of education?",0,3
https://ca.answers.yahoo.com/question/index?qid=20130909173123AASRAdN,How often should I condition my fish tank?,0,4
https://au.answers.yahoo.com/question/index?qid=20150130001451AAMJfxz,How Long Should a Diary Entry be?,0,2
https://au.answers.yahoo.com/question/index?qid=20150128212417AAUqHCu,Should a manager's loyalty to the organisation override their loyalty to the team?,0,2
https://ca.answers.yahoo.com/question/index?qid=20130808170945AA8qWSq,What episode of One Piece should I be on to watch Film Z?,0,4
https://answers.yahoo.com/question/index?qid=1006051805411,Should I serve a syrah wine chilled or room temp?,0,13
https://answers.yahoo.com/question/index?qid=20060605215801AAMxk5p,Should i wear my contacts in a swimming pool?,4,379
